ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,profit_pct,entry_score,exit_reason,entry_season,exit_season
000852.SZ,2025-01-03,2025-01-10,5,7.48,6.55,-12.73,69.2,STOP_LOSS,chaos,chaos
001222.SZ,2025-01-03,2025-01-10,5,16.84,15.39,-8.91,67.7,SCORE_DROP,chaos,chaos
002580.SZ,2025-01-06,2025-01-13,5,9.18,7.76,-15.77,66.1,STOP_LOSS,chaos_autumn,chaos
000913.SZ,2025-01-07,2025-01-13,4,19.02,16.48,-13.65,65.9,STOP_LOSS,chaos_autumn,chaos
301377.SZ,2025-01-09,2025-01-13,2,24.3,21.32,-12.56,69.0,STOP_LOSS,chaos_autumn,chaos
000421.SZ,2025-01-13,2025-01-22,7,7.13,6.35,-11.24,66.8,SCORE_DROP,chaos,chaos
688362.SH,2025-01-08,2025-01-23,11,33.8,30.41,-10.33,70.7,SCORE_DROP,chaos_autumn,chaos
002335.SZ,2025-01-09,2025-01-27,12,30.04,28.65,-4.93,66.1,SCORE_DROP,chaos_autumn,chaos
000430.SZ,2025-01-15,2025-01-27,8,7.45,6.52,-12.78,70.5,STOP_LOSS,chaos,chaos
688072.SH,2025-01-17,2025-01-27,6,154.95,142.65,-8.24,67.6,SCORE_DROP,chaos,chaos
002278.SZ,2025-01-20,2025-01-27,5,5.97,5.36,-10.52,70.2,SCORE_DROP,chaos,chaos
688800.SH,2025-01-07,2025-02-05,15,65.0,58.59,-10.16,68.0,SCORE_DROP,chaos_autumn,chaos
300476.SZ,2025-01-08,2025-02-05,14,46.7,45.3,-3.3,66.2,SCORE_DROP,chaos_autumn,chaos
603228.SH,2025-01-24,2025-02-05,2,36.52,30.92,-15.63,65.9,STOP_LOSS,chaos,chaos
002861.SZ,2025-01-20,2025-02-17,14,14.14,14.98,5.64,73.5,SCORE_DROP,chaos,chaos_spring
603236.SH,2025-01-14,2025-02-18,19,71.09,81.99,15.03,61.3,SCORE_DROP,chaos,chaos
688099.SH,2025-01-15,2025-02-18,18,78.85,79.17,0.11,66.9,SCORE_DROP,chaos,chaos
001222.SZ,2025-01-15,2025-02-18,18,17.14,15.59,-9.34,65.9,SCORE_DROP,chaos,chaos
002028.SZ,2025-01-21,2025-02-20,16,78.65,72.19,-8.51,72.8,SCORE_DROP,chaos,chaos_spring
000807.SZ,2025-01-16,2025-02-21,20,16.63,16.1,-3.49,63.9,SCORE_DROP,chaos,chaos_spring
001211.SZ,2025-02-13,2025-02-25,8,24.93,22.06,-11.81,68.0,SCORE_DROP,chaos_spring,chaos_spring
300570.SZ,2025-01-02,2025-02-27,34,80.35,99.22,23.18,68.9,SCORE_DROP,chaos,chaos_spring
000681.SZ,2025-01-27,2025-02-27,17,24.18,23.84,-1.71,70.5,SCORE_DROP,chaos,chaos_spring
002050.SZ,2025-01-10,2025-02-28,29,26.7,30.32,13.26,68.1,SCORE_DROP,chaos,chaos
300502.SZ,2025-01-14,2025-02-28,27,113.69,96.04,-15.82,62.0,STOP_LOSS,chaos,chaos
000725.SZ,2025-01-21,2025-02-28,22,4.5,4.31,-4.52,67.8,SCORE_DROP,chaos,chaos
000977.SZ,2025-01-22,2025-02-28,21,52.96,59.21,11.5,68.2,SCORE_DROP,chaos,chaos
002185.SZ,2025-01-24,2025-02-28,19,11.58,10.98,-5.48,67.1,SCORE_DROP,chaos,chaos
688111.SH,2025-01-24,2025-02-28,19,305.03,346.19,13.19,66.6,SCORE_DROP,chaos,chaos
000532.SZ,2025-01-27,2025-02-28,18,14.62,15.45,5.38,73.8,SCORE_DROP,chaos,chaos
002230.SZ,2025-02-05,2025-02-28,17,54.43,51.8,-5.13,67.1,SCORE_DROP,chaos,chaos
000676.SZ,2025-02-06,2025-02-28,16,9.12,8.51,-6.99,73.6,SCORE_DROP,chaos,chaos
001696.SZ,2025-02-07,2025-02-28,15,25.5,23.3,-8.93,72.4,SCORE_DROP,chaos_spring,chaos
000156.SZ,2025-02-07,2025-02-28,15,7.49,7.92,5.44,70.7,SCORE_DROP,chaos_spring,chaos
000607.SZ,2025-02-12,2025-02-28,12,4.49,4.02,-10.77,74.6,SCORE_DROP,chaos_spring,chaos
300476.SZ,2025-02-12,2025-02-28,12,54.8,51.05,-7.14,70.5,SCORE_DROP,chaos_spring,chaos
600172.SH,2025-02-13,2025-02-28,11,4.69,4.1,-12.88,70.2,STOP_LOSS,chaos_spring,chaos
600183.SH,2025-02-18,2025-02-28,8,33.71,28.77,-14.95,64.4,STOP_LOSS,chaos,chaos
301165.SZ,2025-02-24,2025-02-28,4,89.61,74.18,-17.52,68.8,STOP_LOSS,chaos_spring,chaos
300433.SZ,2025-01-14,2025-03-03,28,26.6,26.94,0.98,68.5,SCORE_DROP,chaos,chaos
600171.SH,2025-01-17,2025-03-03,25,37.52,36.11,-4.06,67.2,SCORE_DROP,chaos,chaos
002156.SZ,2025-01-20,2025-03-03,24,28.88,28.43,-1.86,69.6,SCORE_DROP,chaos,chaos
300604.SZ,2025-01-21,2025-03-03,23,45.89,43.66,-5.16,70.2,SCORE_DROP,chaos,chaos
300033.SZ,2025-01-22,2025-03-03,22,296.11,293.64,-1.13,67.6,SCORE_DROP,chaos,chaos
688158.SH,2025-02-05,2025-03-03,18,16.6,30.7,84.64,74.7,SCORE_DROP,chaos,chaos
688343.SH,2025-02-25,2025-03-03,4,82.26,68.97,-16.46,65.9,STOP_LOSS,chaos_spring,chaos
000938.SZ,2025-01-22,2025-03-05,24,26.64,29.5,10.44,69.2,SCORE_DROP,chaos,chaos
300474.SZ,2025-02-26,2025-03-05,5,99.55,90.6,-9.29,66.3,SCORE_DROP,chaos_spring,chaos
002329.SZ,2025-02-27,2025-03-06,5,3.57,3.3,-7.86,69.7,SCORE_DROP,chaos_spring,chaos
000032.SZ,2025-02-10,2025-03-10,20,20.11,24.36,20.83,72.2,SCORE_DROP,chaos_spring,chaos
300750.SZ,2025-02-18,2025-03-10,14,270.77,256.5,-5.57,65.4,SCORE_DROP,chaos,chaos
000066.SZ,2025-02-14,2025-03-11,17,16.9,15.93,-6.04,69.6,SCORE_DROP,chaos_spring,chaos
688981.SH,2025-01-10,2025-03-13,38,93.18,92.98,-0.51,62.5,SCORE_DROP,chaos,chaos
000415.SZ,2025-01-17,2025-03-13,33,3.57,3.24,-9.54,73.5,SCORE_DROP,chaos,chaos
300223.SZ,2025-01-23,2025-03-13,29,65.81,77.15,16.93,72.6,SCORE_DROP,chaos,chaos
688728.SH,2025-01-27,2025-03-13,27,13.83,15.2,9.61,67.3,SCORE_DROP,chaos,chaos
603501.SH,2025-02-13,2025-03-13,20,136.05,137.2,0.55,69.9,SCORE_DROP,chaos_spring,chaos
603005.SH,2025-02-14,2025-03-13,19,34.75,31.68,-9.13,67.9,SCORE_DROP,chaos_spring,chaos
000516.SZ,2025-02-17,2025-03-13,18,5.82,5.86,0.39,72.3,SCORE_DROP,chaos_spring,chaos
688362.SH,2025-02-17,2025-03-13,18,30.61,29.64,-3.47,70.6,SCORE_DROP,chaos_spring,chaos
002357.SZ,2025-02-19,2025-03-13,16,8.23,8.64,4.68,72.4,SCORE_DROP,chaos_spring,chaos
002273.SZ,2025-02-20,2025-03-13,15,25.19,23.68,-6.29,68.1,SCORE_DROP,chaos_spring,chaos
688008.SH,2025-02-25,2025-03-13,12,79.84,75.27,-6.02,67.1,SCORE_DROP,chaos_spring,chaos
000560.SZ,2025-02-26,2025-03-13,11,3.59,3.29,-8.66,70.1,SCORE_DROP,chaos_spring,chaos
688150.SH,2025-02-27,2025-03-13,10,22.78,20.49,-10.35,70.3,SCORE_DROP,chaos_spring,chaos
000420.SZ,2025-02-28,2025-03-13,9,3.98,3.61,-9.6,62.8,SCORE_DROP,chaos,chaos
